car,battery_capacity,profile,arrival_time_in_minutes,waiting_time_in_minutes,current_battery_level,willingness_to_pay_extra_per_kwh,willingness_to_release,target_battery_level,soc,ocv
Tesla Model Y,75000,STANDARD,30886,1,11561,0.24,0.36,56363,0.15414666666666665,3.2855
Tesla Model 3,75000,STANDARD,29993,0,13364,0.3,0.38,31704,0.17818666666666666,3.3325
Tesla Model Y,75000,STANDARD,14029,3,18335,0.08,0.4,72206,0.24446666666666667,3.4531
Audi Q4 e-tron,52000,STANDARD,35180,4,12754,0.06,0.34,29706,0.24526923076923077,3.4545
Skoda Enyaq,77000,STANDARD,1395,3,15514,0.18,0.32,44829,0.20148051948051948,3.3785
Tesla Model Y,75000,STANDARD,28056,4,17435,0.21,0.32,52234,0.23246666666666665,3.4326
Volvo EX30,51000,STANDARD,12325,1,13134,0.13,0.25,43082,0.2575294117647059,3.4737
Tesla Model Y,75000,STANDARD,18229,0,15889,0.28,0.32,32205,0.21185333333333334,3.3972
Skoda Enyaq,77000,STANDARD,36296,2,5121,0.21,0.31,71679,0.0665064935064935,3.1012
Tesla Model Y,75000,STANDARD,18131,4,11128,0.02,0.4,59183,0.14837333333333333,3.2757
Skoda Enyaq,77000,STANDARD,40902,3,13435,0.15,0.34,74271,0.17448051948051949,3.3252
Tesla Model Y,75000,STANDARD,14186,0,13713,0.12,0.37,48507,0.18284,3.3417
Tesla Model Y,75000,STANDARD,7300,0,16087,0.05,0.22,35517,0.21449333333333334,3.4018
Audi Q4 e-tron,52000,STANDARD,17846,2,11301,0.32,0.31,27216,0.21732692307692308,3.4066
Audi Q4 e-tron,52000,STANDARD,38907,0,9194,0.25,0.32,33165,0.1768076923076923,3.3298
Tesla Model Y,75000,STANDARD,37496,1,11997,0.21,0.35,50911,0.15996,3.2966
Volvo EX30,51000,STANDARD,42826,2,5871,0.01,0.4,42110,0.11511764705882353,3.2193
Tesla Model Y,75000,STANDARD,34721,3,16255,0.03,0.28,41454,0.21673333333333333,3.4056
Tesla Model Y,75000,STANDARD,25046,1,9408,0.35,0.32,58229,0.12544,3.2368
Tesla Model Y,75000,STANDARD,15221,2,19011,0.06,0.29,45591,0.25348,3.4686
Skoda Enyaq,77000,STANDARD,28658,0,14707,0.08,0.36,70428,0.191,3.3578
Audi Q4 e-tron,52000,STANDARD,14943,3,7044,0.01,0.25,27257,0.13546153846153847,3.2538
Tesla Model Y,75000,STANDARD,41192,0,14264,0.23,0.25,36664,0.19018666666666667,3.3562
Tesla Model Y,75000,STANDARD,41043,2,5069,0.18,0.23,61071,0.06758666666666667,3.1041
Audi Q4 e-tron,52000,STANDARD,29548,0,18427,0.2,0.28,42737,0.35436538461538464,3.5678
Tesla Model Y,75000,STANDARD,21810,4,12280,0.19,0.3,27810,0.16373333333333334,3.304
Tesla Model Y,75000,STANDARD,6840,0,14996,0.16,0.22,45566,0.19994666666666666,3.3754
Tesla Model Y,75000,STANDARD,6469,1,14214,0.21,0.23,65700,0.18952,3.3549
Volvo EX30,51000,STANDARD,16071,0,5168,0.07,0.33,34488,0.10133333333333333,3.1918
Volvo EX30,51000,STANDARD,14964,4,5589,0.03,0.36,35098,0.10958823529411765,3.21
Skoda Enyaq,77000,STANDARD,23842,3,11655,0.29,0.25,59946,0.15136363636363637,3.2808
Volvo EX30,51000,STANDARD,32588,4,6310,0.26,0.38,31820,0.12372549019607842,3.2339
Tesla Model Y,75000,STANDARD,28492,0,5733,0.26,0.32,51432,0.07644,3.1271
Volvo EX30,51000,STANDARD,28730,1,9529,0.03,0.32,41439,0.18684313725490195,3.3496
Tesla Model 3,75000,STANDARD,20879,1,17185,0.32,0.22,46037,0.22913333333333333,3.4269
Skoda Enyaq,77000,STANDARD,31135,3,11942,0.13,0.32,29036,0.15509090909090908,3.2871
Tesla Model Y,75000,STANDARD,19185,2,19815,0.02,0.4,46510,0.2642,3.4804
Tesla Model Y,75000,STANDARD,41239,3,13373,0.03,0.28,49846,0.17830666666666667,3.3328
Tesla Model 3,75000,STANDARD,10873,0,10871,0.07,0.24,33278,0.14494666666666667,3.2699
Skoda Enyaq,77000,STANDARD,17969,2,16331,0.22,0.37,48720,0.21209090909090908,3.3976
Tesla Model Y,75000,STANDARD,6925,4,12525,0.19,0.4,34350,0.167,3.3105
Tesla Model 3,75000,STANDARD,41328,2,7885,0.34,0.37,36920,0.10513333333333333,3.2017
Tesla Model Y,75000,STANDARD,22605,4,19079,0.29,0.35,62070,0.25438666666666665,3.4701
Skoda Enyaq,77000,STANDARD,5037,2,14645,0.24,0.23,46039,0.1901948051948052,3.3562
Tesla Model Y,75000,STANDARD,36900,0,16139,0.22,0.38,71704,0.21518666666666666,3.4029
Audi Q4 e-tron,52000,STANDARD,25517,2,12360,0.06,0.21,48233,0.2376923076923077,3.4415
Volvo EX30,51000,STANDARD,39725,1,5590,0.3,0.39,23742,0.1096078431372549,3.21
Skoda Enyaq,77000,STANDARD,10865,1,6734,0.2,0.28,62984,0.08745454545454545,3.1557
Tesla Model Y,75000,STANDARD,25192,0,18266,0.13,0.37,39866,0.24354666666666666,3.4516
Tesla Model 3,75000,STANDARD,35619,0,13257,0.19,0.37,37694,0.17676,3.3297
Tesla Model Y,75000,STANDARD,31533,2,14937,0.3,0.36,48743,0.19916,3.3739
Tesla Model Y,75000,STANDARD,3136,3,12682,0.14,0.29,42317,0.16909333333333335,3.3146
Skoda Enyaq,77000,STANDARD,25906,4,19782,0.34,0.39,38012,0.2569090909090909,3.4731
Tesla Model Y,75000,STANDARD,25205,1,11827,0.34,0.38,60891,0.15769333333333332,3.2921
Audi Q4 e-tron,52000,STANDARD,30805,2,9834,0.26,0.39,46534,0.1891153846153846,3.3541
Skoda Enyaq,77000,STANDARD,11476,3,14839,0.11,0.28,40722,0.19271428571428573,3.3612
Tesla Model Y,75000,STANDARD,37035,4,5405,0.32,0.25,38283,0.07206666666666667,3.1157
Tesla Model Y,75000,STANDARD,6980,2,14388,0.25,0.31,72434,0.19184,3.3595
Audi Q4 e-tron,52000,STANDARD,11925,1,11096,0.3,0.26,33608,0.2133846153846154,3.3999
Volvo EX30,51000,STANDARD,5131,3,6961,0.05,0.38,42252,0.13649019607843138,3.2556
Volvo EX30,51000,STANDARD,703,3,11178,0.22,0.2,45692,0.2191764705882353,3.4098
Skoda Enyaq,77000,STANDARD,40145,4,11396,0.11,0.27,73523,0.148,3.2751
Audi Q4 e-tron,52000,STANDARD,12101,4,8087,0.16,0.34,37330,0.15551923076923077,3.2879
Tesla Model 3,75000,STANDARD,16054,2,5138,0.15,0.39,32230,0.06850666666666666,3.1064
Skoda Enyaq,77000,STANDARD,9210,2,13291,0.24,0.34,47191,0.1726103896103896,3.3215
Tesla Model 3,75000,STANDARD,42393,2,14007,0.21,0.38,36677,0.18676,3.3494
Volvo EX30,51000,STANDARD,21866,3,19544,0.26,0.35,41591,0.3832156862745098,3.6095
Tesla Model 3,75000,STANDARD,7927,1,14177,0.32,0.29,61815,0.18902666666666668,3.3539
Tesla Model Y,75000,STANDARD,20972,0,11315,0.29,0.3,37753,0.15086666666666668,3.28
Skoda Enyaq,77000,STANDARD,6522,2,17996,0.27,0.33,54825,0.2337142857142857,3.4347
Audi Q4 e-tron,52000,STANDARD,33936,4,9944,0.27,0.31,26013,0.19123076923076923,3.3583
Tesla Model Y,75000,STANDARD,27143,2,9647,0.06,0.3,58708,0.12862666666666667,3.2422
Volvo EX30,51000,STANDARD,35659,0,16437,0.26,0.24,40136,0.32229411764705884,3.5375
Volvo EX30,51000,STANDARD,14644,1,12169,0.3,0.22,27342,0.23860784313725492,3.4431
Audi Q4 e-tron,52000,STANDARD,39770,3,9321,0.06,0.22,34312,0.17925,3.3346
Volvo EX30,51000,STANDARD,42667,0,15767,0.13,0.22,41957,0.309156862745098,3.5251
Volvo EX30,51000,STANDARD,1225,0,16080,0.33,0.25,34236,0.31529411764705884,3.5309
Volvo EX30,51000,STANDARD,9507,2,16062,0.16,0.33,42699,0.3149411764705882,3.5306
Volvo EX30,51000,STANDARD,38403,4,6728,0.34,0.27,32217,0.13192156862745097,3.2478
Audi Q4 e-tron,52000,STANDARD,30932,0,8433,0.29,0.3,35906,0.16217307692307692,3.301
Audi Q4 e-tron,52000,STANDARD,9367,2,13444,0.07,0.35,50753,0.25853846153846155,3.4747
Volvo EX30,51000,STANDARD,1986,4,6392,0.0,0.29,45025,0.12533333333333332,3.2367
Tesla Model Y,75000,STANDARD,854,0,7340,0.07,0.21,54983,0.09786666666666667,3.1828
Tesla Model Y,75000,STANDARD,25011,0,11616,0.02,0.36,66561,0.15488,3.2868
Tesla Model Y,75000,STANDARD,24247,1,7292,0.22,0.4,33585,0.09722666666666667,3.1811
Tesla Model Y,75000,STANDARD,37628,0,5165,0.22,0.33,47682,0.06886666666666667,3.1074
Audi Q4 e-tron,52000,STANDARD,31080,1,8804,0.18,0.35,32633,0.1693076923076923,3.315
Tesla Model Y,75000,STANDARD,31004,4,17064,0.16,0.38,68515,0.22752,3.4241
Volvo EX30,51000,STANDARD,9799,1,15076,0.18,0.34,50732,0.2956078431372549,3.5118
Skoda Enyaq,77000,STANDARD,9946,0,14168,0.3,0.36,30967,0.184,3.344
Skoda Enyaq,77000,STANDARD,302,3,9650,0.29,0.33,66357,0.1253246753246753,3.2366
Tesla Model Y,75000,STANDARD,21648,4,7481,0.05,0.26,36566,0.09974666666666666,3.1877
Tesla Model Y,75000,STANDARD,15496,0,5144,0.33,0.26,22445,0.06858666666666667,3.1067
Volvo EX30,51000,STANDARD,34216,1,15558,0.32,0.26,33554,0.30505882352941177,3.5212
Volvo EX30,51000,STANDARD,18147,3,12369,0.09,0.37,40548,0.24252941176470588,3.4498
Tesla Model 3,75000,STANDARD,22296,3,15807,0.26,0.36,62704,0.21076,3.3954
Skoda Enyaq,77000,STANDARD,812,4,5898,0.08,0.33,52363,0.0765974025974026,3.1275
Tesla Model Y,75000,STANDARD,3101,4,8291,0.27,0.29,53034,0.11054666666666667,3.2116
Audi Q4 e-tron,52000,STANDARD,42245,2,9909,0.09,0.23,29948,0.19055769230769232,3.3569
Volvo EX30,51000,STANDARD,32643,2,16289,0.29,0.23,39944,0.3193921568627451,3.5348
Tesla Model 3,75000,STANDARD,35916,3,15432,0.18,0.25,51632,0.20576,3.3868
Tesla Model Y,75000,STANDARD,2041,0,17358,0.08,0.31,47186,0.23144,3.4308
Skoda Enyaq,77000,STANDARD,3074,1,14519,0.11,0.3,71029,0.18855844155844156,3.353
Volvo EX30,51000,STANDARD,29169,4,9820,0.12,0.34,32020,0.19254901960784312,3.3609
Audi Q4 e-tron,52000,STANDARD,9959,1,10803,0.17,0.39,27841,0.20775,3.3902
Tesla Model Y,75000,STANDARD,40904,2,18980,0.12,0.25,40176,0.25306666666666666,3.4679
Tesla Model Y,75000,STANDARD,6676,2,14719,0.28,0.22,53282,0.19625333333333334,3.3682
Tesla Model 3,75000,STANDARD,18570,0,16461,0.25,0.35,54735,0.21948,3.4103
Skoda Enyaq,77000,STANDARD,30779,0,6849,0.2,0.27,70034,0.08894805194805194,3.1596
Tesla Model Y,75000,STANDARD,36974,1,12350,0.04,0.27,61630,0.16466666666666666,3.3059
Tesla Model Y,75000,STANDARD,18015,1,6382,0.26,0.2,35028,0.08509333333333334,3.1496
Tesla Model Y,75000,STANDARD,30849,1,18826,0.04,0.33,52695,0.2510133333333333,3.4644
Skoda Enyaq,77000,STANDARD,37982,2,16011,0.26,0.27,70190,0.20793506493506494,3.3905
Tesla Model Y,75000,STANDARD,36772,1,6907,0.29,0.2,63363,0.09209333333333333,3.1678
Tesla Model Y,75000,STANDARD,29583,3,10538,0.31,0.31,66150,0.14050666666666667,3.2624
Tesla Model Y,75000,STANDARD,19497,4,13069,0.06,0.39,30063,0.17425333333333334,3.3248
Skoda Enyaq,77000,STANDARD,39443,4,18845,0.07,0.23,67434,0.24474025974025973,3.4536
Skoda Enyaq,77000,STANDARD,26544,4,13171,0.16,0.32,42477,0.17105194805194804,3.3185
Tesla Model Y,75000,STANDARD,38030,0,6674,0.27,0.33,31656,0.08898666666666667,3.1597
Tesla Model Y,75000,STANDARD,19919,1,15570,0.3,0.34,59348,0.2076,3.3899
Tesla Model 3,75000,STANDARD,6406,3,19919,0.14,0.31,61035,0.2655866666666667,3.4818
Skoda Enyaq,77000,STANDARD,34286,2,9591,0.34,0.34,39042,0.12455844155844156,3.2353
Tesla Model Y,75000,STANDARD,6286,1,10909,0.1,0.25,62555,0.14545333333333332,3.2708
Tesla Model Y,75000,STANDARD,29841,2,5800,0.02,0.35,55582,0.07733333333333334,3.1294
Tesla Model Y,75000,STANDARD,29475,3,15122,0.27,0.26,53964,0.20162666666666668,3.3788
Tesla Model Y,75000,STANDARD,13066,0,18952,0.31,0.4,65292,0.2526933333333333,3.4672
Tesla Model Y,75000,STANDARD,20785,2,15606,0.01,0.31,62118,0.20808,3.3908
Tesla Model Y,75000,STANDARD,31315,3,8558,0.02,0.4,65436,0.11410666666666666,3.2176
Skoda Enyaq,77000,STANDARD,29709,4,5782,0.33,0.33,51320,0.0750909090909091,3.1236
Audi Q4 e-tron,52000,STANDARD,31343,1,17649,0.26,0.27,45372,0.33940384615384617,3.5536
Audi Q4 e-tron,52000,STANDARD,9922,3,9228,0.03,0.29,24783,0.17746153846153845,3.3311
Tesla Model Y,75000,STANDARD,9980,3,11199,0.17,0.25,59733,0.14932,3.2773
Tesla Model Y,75000,STANDARD,40261,1,14633,0.06,0.23,47937,0.19510666666666668,3.3659
Tesla Model Y,75000,STANDARD,29657,1,12760,0.13,0.37,60105,0.17013333333333333,3.3167
Tesla Model 3,75000,STANDARD,30652,3,17747,0.1,0.36,47971,0.23662666666666668,3.4397
Skoda Enyaq,77000,STANDARD,6648,1,15707,0.08,0.24,35737,0.203987012987013,3.3834
Skoda Enyaq,77000,STANDARD,33203,1,18562,0.07,0.38,74654,0.24106493506493507,3.4473
Skoda Enyaq,77000,STANDARD,1525,3,18578,0.19,0.37,69813,0.24127272727272728,3.4477
Audi Q4 e-tron,52000,STANDARD,42795,3,7524,0.3,0.33,47945,0.1446923076923077,3.2695
Tesla Model Y,75000,STANDARD,18233,0,12784,0.11,0.23,49138,0.17045333333333335,3.3173
Tesla Model Y,75000,STANDARD,38466,3,19671,0.33,0.26,37133,0.26228,3.4785
Volvo EX30,51000,STANDARD,23767,0,18705,0.05,0.21,35168,0.36676470588235294,3.5857
Volvo EX30,51000,STANDARD,41329,2,16874,0.23,0.21,41296,0.3308627450980392,3.5456
Audi Q4 e-tron,52000,STANDARD,39087,3,18690,0.1,0.22,38102,0.3594230769230769,3.5751
Tesla Model 3,75000,STANDARD,23507,0,12770,0.16,0.25,36366,0.17026666666666668,3.3169
Skoda Enyaq,77000,STANDARD,15871,2,18686,0.11,0.36,74984,0.24267532467532468,3.4501
Volvo EX30,51000,STANDARD,25533,0,11851,0.2,0.34,28422,0.23237254901960785,3.4324
Skoda Enyaq,77000,STANDARD,1652,3,19506,0.21,0.21,40563,0.25332467532467534,3.4683
Skoda Enyaq,77000,STANDARD,23660,3,19857,0.01,0.38,73337,0.2578831168831169,3.4741
Tesla Model Y,75000,STANDARD,10148,4,11282,0.12,0.25,43509,0.15042666666666665,3.2792
Tesla Model Y,75000,STANDARD,21566,1,5220,0.11,0.38,56380,0.0696,3.1093
Tesla Model Y,75000,STANDARD,41668,1,16097,0.21,0.23,71537,0.21462666666666666,3.402
Skoda Enyaq,77000,STANDARD,6358,0,11059,0.11,0.36,46664,0.14362337662337663,3.2677
Tesla Model Y,75000,STANDARD,26384,2,14664,0.04,0.2,44386,0.19552,3.3667
Audi Q4 e-tron,52000,STANDARD,1145,2,6822,0.07,0.23,37428,0.1311923076923077,3.2466
Tesla Model Y,75000,STANDARD,15348,4,14286,0.24,0.25,58362,0.19048,3.3568
Audi Q4 e-tron,52000,STANDARD,4775,4,19201,0.13,0.36,46170,0.36925,3.5893
Tesla Model Y,75000,STANDARD,10563,3,16752,0.07,0.25,47509,0.22336,3.417
Audi Q4 e-tron,52000,STANDARD,22816,2,5794,0.2,0.29,40702,0.11142307692307692,3.2131
Audi Q4 e-tron,52000,STANDARD,39580,0,11703,0.2,0.36,49934,0.22505769230769232,3.4199
Audi Q4 e-tron,52000,STANDARD,30157,1,13832,0.04,0.32,45707,0.266,3.4822
Audi Q4 e-tron,52000,STANDARD,29550,4,15824,0.31,0.25,38254,0.30430769230769233,3.5205
Audi Q4 e-tron,52000,STANDARD,30475,4,13620,0.31,0.38,39565,0.2619230769230769,3.4781
Skoda Enyaq,77000,STANDARD,28080,4,10352,0.27,0.32,71113,0.13444155844155845,3.2521
Tesla Model Y,75000,STANDARD,13684,4,10632,0.22,0.33,29644,0.14176,3.2645
Audi Q4 e-tron,52000,STANDARD,11713,0,13658,0.29,0.27,36122,0.2626538461538461,3.4789
Tesla Model 3,75000,STANDARD,28150,0,9468,0.22,0.29,64124,0.12624,3.2382
Tesla Model 3,75000,STANDARD,41496,0,16620,0.05,0.38,35555,0.2216,3.4139
Volvo EX30,51000,STANDARD,17167,4,5365,0.07,0.35,39240,0.10519607843137255,3.2019
Tesla Model Y,75000,STANDARD,24286,2,18086,0.11,0.22,35153,0.24114666666666668,3.4475
Volvo EX30,51000,STANDARD,36629,3,15683,0.33,0.31,44938,0.3075098039215686,3.5235
Skoda Enyaq,77000,STANDARD,17184,2,15627,0.34,0.26,54533,0.20294805194805196,3.3814
Tesla Model 3,75000,STANDARD,28713,3,17412,0.13,0.24,63768,0.23216,3.432
Volvo EX30,51000,STANDARD,4046,1,13601,0.3,0.4,50438,0.2666862745098039,3.4829
Tesla Model Y,75000,STANDARD,24192,1,14803,0.22,0.21,63091,0.19737333333333335,3.3704
Tesla Model Y,75000,STANDARD,21636,4,7901,0.29,0.38,66378,0.10534666666666667,3.2023
Volvo EX30,51000,STANDARD,29369,1,12430,0.17,0.4,38654,0.24372549019607842,3.4519
Tesla Model Y,75000,STANDARD,21627,3,7705,0.25,0.33,50493,0.10273333333333333,3.1955
Skoda Enyaq,77000,STANDARD,9913,0,10101,0.2,0.23,46670,0.13118181818181818,3.2466
Skoda Enyaq,77000,STANDARD,9009,0,6839,0.16,0.39,57765,0.08881818181818182,3.1593
Tesla Model Y,75000,STANDARD,16142,1,9120,0.06,0.33,67928,0.1216,3.2303
Tesla Model Y,75000,STANDARD,746,1,10580,0.17,0.38,30790,0.14106666666666667,3.2633
Tesla Model Y,75000,STANDARD,36930,0,16882,0.31,0.26,73492,0.22509333333333334,3.4199
Volvo EX30,51000,STANDARD,8998,0,5223,0.24,0.37,42367,0.10241176470588235,3.1946
